Elite copy, Mutation rate, Success probability
0.1,0.1,88.00%
0.1,0.2,100.00%
0.1,0.3,93.00%
0.1,0.5,64.00%
0.1,0.7,36.00%
0.1,0.9,44.00%
0.1,1.0,45.00%
0.2,0.1,77.00%
0.2,0.2,100.00%
0.2,0.3,90.00%
0.2,0.6,21.00%
0.2,1.0,20.00%
0.3,0.1,80.00%
0.3,0.2,80.00%
0.3,0.3,78.00%
0.3,0.4,57.00%
0.3,0.5,30.00%
0.3,0.8,21.00%
0.4,0.1,61.00%
0.4,0.2,84.00%
0.4,0.3,79.00%
0.4,0.5,21.00%
0.4,0.6,40.00%
0.4,0.7,18.00%
0.5,0.1,46.00%
0.5,0.2,90.00%
0.5,0.3,74.00%
0.5,0.7,30.00%
0.6,0.1,31.00%
0.6,0.2,69.00%
0.6,0.4,19.00%
0.7,0.2,88.00%
0.7,0.3,88.00%
0.8,0.2,52.00%
0.8,0.3,8.00%
0.8,0.5,19.00%
0.8,0.6,22.00%
0.8,0.8,10.00%
